Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C501,100n,C_0402_1005Metric,82.423,95.827,270,top
C502,10n,C_0402_1005Metric,81.153,95.827,270,top
C503,33p,C_0402_1005Metric,94.488,82.827,90,top
C504,33p,C_0402_1005Metric,86.233,82.827,90,top
C505,100n,C_0402_1005Metric,86.233,85.667,90,top
C601,10u,C_0402_1005Metric,112.903,53.005,90,top
C602,100n,C_0402_1005Metric,116.8,68.4,0,top
C603,1u,C_0402_1005Metric,102.616,67.483,90,top
C604,10u,C_0402_1005Metric,112.903,49.726,270,top
C605,10n,C_0402_1005Metric,101.473,67.483,90,top
C606,1u,C_0402_1005Metric,114.046,49.726,270,top
C607,12p,C_0402_1005Metric,109.1,65.4,0,top
C608,100n,C_0402_1005Metric,97.6,74.6,90,top
C609,12p,C_0402_1005Metric,106.934,60.371,0,top
C610,100n,C_0402_1005Metric,84.963,72.032,90,top
C611,100n,C_0402_1005Metric,83.693,56.561,180,top
C612,100n,C_0402_1005Metric,102.385,60.244,0,top
C613,100n,C_0402_1005Metric,99.187,55.164,270,top
C614,4u7,C_0402_1005Metric,102.385,62.657,0,top
C615,10n,C_0402_1005Metric,104.902,67.506,270,top
C616,1u,C_0402_1005Metric,103.759,67.483,270,top
C701,100n,C_0402_1005Metric,50.188,63.038,180,top
C702,100n,C_0402_1005Metric,50.135,59.99,180,top
C703,100n,C_0402_1005Metric,50.061,57.577,180,top
C704,100n,C_0402_1005Metric,65.024,48.583,270,top
C705,4u7,C_0402_1005Metric,43.307,47.29,0,top
C706,4u7,C_0402_1005Metric,47.5015,86.373,0,top
C711,100n,C_0402_1005Metric,50.188,64.124,180,top
C712,100n,C_0402_1005Metric,73.914,50.465,270,top
C713,100n,C_0402_1005Metric,77.1885,61.26,0,top
C714,100n,C_0402_1005Metric,57.785,75.0715,90,top
C715,100n,C_0402_1005Metric,63.5,75.103,90,top
C716,100n,C_0402_1005Metric,66.294,75.08,90,top
C717,10u,C_0402_1005Metric,47.954,48.466,0,top
C718,10u,C_0402_1005Metric,43.717,86.373,180,top
C723,100n,C_0402_1005Metric,69.469,48.837,270,top
C724,100n,C_0402_1005Metric,71.247,75.08,90,top
C725,4u7,C_0402_1005Metric,47.954,49.609,0,top
C726,4u7,C_0402_1005Metric,43.74,85.103,180,top
C732,100n,C_0402_1005Metric,76.685,66.086,0,top
